2021 super output area - lower layer,Very good health,Good health,Fair health,Bad health,Very bad health,
E01006685 : Liverpool 056C,52.6,27.3,15.2,3.7,1.1,
E01006687 : Liverpool 056D,57.6,28.1,9.5,3.9,0.9,
E01006688 : Liverpool 056E,52.4,30.3,11.6,4.3,1.4,
E01006740 : Liverpool 057A,43.7,29.8,14.9,8.9,2.7,
E01006742 : Liverpool 057B,51.9,29.7,11.2,5.4,1.8,
E01006744 : Liverpool 057C,46.3,32.6,13.7,5.5,1.9,
E01006745 : Liverpool 057D,44.2,31.5,16.1,6.7,1.5,
E01006738 : Liverpool 058A,42.9,29.2,17.1,7.3,3.4,
E01006739 : Liverpool 058B,48.7,30.1,13.1,5.9,2.2,
E01006741 : Liverpool 058C,43.3,31.2,15.6,7.0,3.0,
E01006743 : Liverpool 058D,46.8,32.5,13.8,5.4,1.6,
E01006753 : Liverpool 059A,46.9,30.0,13.5,6.8,2.9,
E01006754 : Liverpool 059B,45.6,28.2,15.2,6.8,4.2,
E01006755 : Liverpool 059C,42.9,30.3,14.2,9.3,3.2,
E01006756 : Liverpool 059D,44.6,28.5,16.1,9.0,1.8,
E01006757 : Liverpool 059E,46.3,29.7,16.3,5.4,2.4,
E01006758 : Liverpool 059F,42.7,29.6,15.8,8.8,3.1,
E01033758 : Liverpool 060B,51.8,33.9,9.9,3.2,1.2,
E01033760 : Liverpool 060C,55.8,37.5,6.1,0.5,0.2,
E01033761 : Liverpool 060D,56.3,35.4,7.0,0.9,0.4,
E01033762 : Liverpool 060E,53.4,37.2,7.5,1.6,0.3,
E01034405 : Liverpool 060F,57.2,35.5,6.1,1.2,0.0,
E01034406 : Liverpool 060G,58.1,34.9,6.1,0.7,0.2,
E01033750 : Liverpool 061A,55.7,32.1,9.8,1.7,0.7,
E01033756 : Liverpool 061C,56.9,32.8,7.8,1.9,0.6,
E01033765 : Liverpool 061D,42.2,31.4,15.3,8.1,3.1,
E01034407 : Liverpool 061E,66.3,26.4,5.5,1.8,0.1,
E01034408 : Liverpool 061F,49.0,30.7,11.5,6.1,2.6,
E01033751 : Liverpool 062A,51.9,30.8,10.7,5.7,0.9,
E01034409 : Liverpool 062E,58.8,32.9,6.3,1.7,0.3,
E01034410 : Liverpool 062F,56.9,30.7,9.6,1.9,0.9,
E01034411 : Liverpool 062G,60.7,30.3,5.5,2.7,0.8,
,,,,,,
,,,,,,
